item_id,item_name,base_unit,conflict,recipe_units_seen,note
lightspeed:22514324,Parsley,g,false,gx1,
lightspeed:22514326,Oregano Leaves Rubbed - Torino,g,false,gx131,
lightspeed:22514330,Tomato Paste,g,false,gx1,
lightspeed:22523805,Chilli Flakes,g,false,gx18,
lightspeed:22523874,Zaat'ar,g,false,gx6,
lightspeed:22524073,Mayo [plain],g,false,gx1,
lightspeed:22524075,Fresh Parsley [Bunch],,true,bunchx1,"only ever consumed in bunch, which has no declared conversion"
lightspeed:22524104,Balsamic Vinegar [5L],ml,false,mlx2,
lightspeed:22524105,Olive Oil [4L],ml,false,mlx2,
lightspeed:22524108,Red Chilli [10/Kg],g,false,gx4,
lightspeed:22524134,Peeled Garlic [1Kg],g,false,gx9,
lightspeed:22524158,Spiced Sour Cream [Batch],g,false,gx6,
lightspeed:22533097,Yoghurt Greek Style [1Kg],g,false,gx2,
lightspeed:22533151,Tandoori Paste [1.25Kg],g,false,gx1,
lightspeed:22562653,Jasmine Rice [kg],g,false,gx2,
lightspeed:22575946,818 Tequila Blanco [700ml],ml,false,mlx1,
lightspeed:22575954,Don Julio Blanco [Bottle],ml,false,mlx1,
lightspeed:22614115,Fortaleza Añejo [Bottle],ml,false,mlx1,
lightspeed:22614595,Hard Rated Can,each,false,eax1,
lightspeed:22684315,Massenez Elderflower [5L],ml,false,mlx3,
lightspeed:22795730,Two Bays GF Rice Lager Can [HG],each,false,eax1,
lightspeed:22796313,Black Beans [7.8kg],g,false,gx7,
lightspeed:22843691,Passionfruit Puree Seedless [1kg],g,false,gx1,
lightspeed:22843720,East Coast Grapefruit [2L],ml,false,mlx2,
lightspeed:22843745,Bundaberg White Sugar [25kg],g,false,gx8,
lightspeed:22843971,Malic Acid [1kg],g,false,gx3,
lightspeed:22843972,Citric Acid [20kg],g,false,gx3,
lightspeed:22843990,Coco Lopez [Can],ml,false,mlx1,
lightspeed:22843999,Jalapeño Juice [1L],ml,false,mlx1,
lightspeed:22844058,East Coast Pineapple Juice [2L],ml,false,mlx3,
lightspeed:22844065,East Coast Apple Juice [2L],ml,false,mlx2,
lightspeed:22844068,East Coast Cranberry Juice [2L],ml,false,mlx2,
lightspeed:22844123,East Coast Orange Juice [2L],ml,false,mlx2,
lightspeed:22865362,Ancho Reyes Chilli Liqueur [Bottle],ml,false,mlx1,
lightspeed:22873696,Massenez Mango Liqueur [5L Cask],ml,false,mlx2,
